,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
1529,0,85,12,1,F2,5,2,ZZ.00.085,2.0,J1,31,0.35179292735510703,65.71294887288693,24.12070377143563,-34.81443434751892,415.1347621632828,416.59202536210785,1.6544635201604176,132
1410,0,86,12,1,B5,1,5,ZZ.00.086,2.0,J1,18,0.3558835427894687,65.61373083388025,24.389307617460414,-36.457701867267176,414.99367654201734,416.5920253621078,1.6584225831119406,132
1433,0,87,12,1,C4,2,4,ZZ.00.087,2.0,J1,22,0.35997415822383044,65.5134148730128,24.657503354486344,-38.10039794320029,414.8460862438898,416.5920253621078,1.6623816460634635,132
1456,0,88,12,1,D3,3,3,ZZ.00.088,2.0,J1,26,0.3640647736581921,65.41200266888272,24.92528649476429,-39.74249682743881,414.6919935822539,416.5920253621078,1.6663407090149864,132
1485,0,89,12,1,E8,4,8,ZZ.00.089,2.0,J1,0,0.36815538909255385,65.30949591843172,25.19265255744917,-41.38397278146376,414.53140097238247,416.5920253621078,1.6702997719665094,132
1508,0,90,12,1,F7,5,7,ZZ.00.090,2.0,J1,4,0.3722460045269156,65.20589633691665,25.459597068674896,-43.02480007652009,414.3643109314297,416.59202536210785,1.6742588349180323,132
1409,0,91,12,1,B4,1,4,ZZ.00.091,2.0,J1,25,0.37633661996127726,65.10120565788085,25.726115561629246,-44.664952994019885,414.1907260783914,416.5920253621078,1.6782178978695552,132
1432,0,92,12,1,C3,2,3,ZZ.00.092,2.0,J1,29,0.380427235395639,64.9954256331251,25.99220357662863,-46.30440582594559,414.0106491340642,416.5920253621078,1.6821769608210781,132
1461,0,93,12,1,D8,3,8,ZZ.00.093,2.0,J1,3,0.3845178508300007,64.8885580326783,26.25785666119266,-47.943132875252864,413.8240829210027,416.5920253621078,1.686136023772601,132
1484,0,94,12,1,E7,4,7,ZZ.00.094,2.0,J1,7,0.3886084662643624,64.78060464476795,26.523070370118713,-49.58110845627342,413.63103036347536,416.59202536210773,1.690095086724124,132
1507,0,95,12,1,F6,5,6,ZZ.00.095,2.0,J1,11,0.39269908169872414,64.67156727579007,26.787840265556284,-51.218306895117585,413.43149448741883,416.5920253621078,1.694054149675647,132
1667,0,96,14,1,B6,1,6,ZZ.00.096,1.0,J1,15,0.3967896971330858,64.56144775027911,27.052161917081232,-52.854702530076736,413.22547842038995,416.5920253621078,1.6980132126271699,132
1690,0,97,14,1,C5,2,5,ZZ.00.097,1.0,J1,19,0.40088031256744755,64.45024791087734,27.31603090176996,-54.490269712025565,413.0129853915174,416.59202536210785,1.7019722755786928,132
1713,0,98,14,1,D4,3,4,ZZ.00.098,1.0,J1,23,0.4049709280018092,64.33796961830404,27.579442804273363,-56.124982804824015,412.7940187314507,416.5920253621078,1.7059313385302157,132
1736,0,99,14,1,E3,4,3,ZZ.00.099,1.0,J1,27,0.40906154343617096,64.2246147513244,27.84239321689077,-57.758816185719176,412.5685818723081,416.59202536210785,1.7098904014817387,132
1765,0,100,14,1,F8,5,8,ZZ.00.100,1.0,J1,1,0.41315215887053264,64.110185206718,28.104877739643655,-59.39174424574692,412.3366783476227,416.5920253621078,1.7138494644332616,132
1785,0,101,14,1,F2,5,2,ZZ.00.101,1.0,J1,31,0.41724277430489437,63.994682899247145,28.366891980349287,-61.023741390133196,412.09831179228723,416.5920253621078,1.7178085273847845,132
1666,0,102,14,1,B5,1,5,ZZ.00.102,1.0,J1,18,0.4213333897392561,63.87810976162483,28.628431554694217,-62.654782038695316,411.8534859424971,416.59202536210785,1.7217675903363074,132
1689,0,103,14,1,C4,2,4,ZZ.00.103,1.0,J1,22,0.4254240051736178,63.760467744482305,28.889492086307627,-64.28484062624285,411.60220463569146,416.59202536210785,1.7257266532878304,132
